               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074317,            0.040339,            0.045231,             0.67428,              0.1934,              0.1387,            0.061976,            0.048325,            0.015758,            0.031889,            0.070113,           0.0033208,           0.0033208
                   1,            0.055546,            0.033148,            0.026466,             0.67523,             0.28343,             0.24104,             0.11003,            0.048079,            0.014156,            0.022724,            0.040047,           0.0065882,           0.0065882
                   2,            0.051862,            0.031521,            0.020404,             0.70026,             0.25774,             0.27002,             0.13803,            0.042611,            0.017475,            0.022192,           0.0099155,           0.0097897,           0.0097897
                   3,            0.047208,            0.032195,            0.018108,             0.54075,             0.33422,             0.31754,             0.16448,            0.044142,             0.01588,            0.021074,            0.009703,            0.009703,            0.009703
                   4,             0.04453,            0.032438,            0.017198,             0.58281,             0.35687,             0.45255,             0.25423,            0.040036,            0.015717,            0.017971,            0.009703,            0.009703,            0.009703
                   5,            0.042586,            0.031643,            0.014738,             0.50422,             0.45008,             0.43906,               0.252,            0.039907,            0.015363,            0.019117,            0.009604,            0.009604,            0.009604
                   6,            0.041023,            0.031574,            0.013497,             0.49118,             0.57422,             0.53866,             0.30998,            0.037458,            0.015399,            0.014201,            0.009505,            0.009505,            0.009505
                   7,            0.040265,            0.031305,            0.012128,              0.4581,             0.55703,             0.53561,              0.2934,            0.037837,             0.01656,            0.013868,            0.009406,            0.009406,            0.009406
                   8,             0.03953,            0.029957,            0.012372,             0.60795,              0.5293,             0.55541,             0.33422,            0.036497,            0.015091,            0.015964,            0.009307,            0.009307,            0.009307
                   9,            0.038565,            0.030448,            0.012065,             0.44748,             0.57759,             0.52599,             0.28532,             0.03817,             0.01543,            0.015818,            0.009208,            0.009208,            0.009208
                  10,            0.037782,            0.029941,            0.010601,             0.57108,             0.59506,             0.61757,             0.36054,             0.03657,             0.01503,            0.013834,            0.009109,            0.009109,            0.009109
                  11,            0.037147,            0.029251,            0.011078,             0.59439,             0.62804,             0.65394,             0.42545,            0.035922,            0.015184,           0.0092441,             0.00901,             0.00901,             0.00901
                  12,            0.036384,            0.029459,           0.0093654,             0.70087,             0.58855,             0.65952,             0.40842,            0.035661,            0.014614,           0.0099726,            0.008911,            0.008911,            0.008911
                  13,            0.036832,             0.02958,           0.0090897,             0.58886,             0.60322,             0.63848,              0.3897,            0.035325,            0.014522,              0.0104,            0.008812,            0.008812,            0.008812
                  14,            0.036129,            0.029074,           0.0085511,              0.6703,             0.62635,              0.6934,             0.42086,            0.036214,            0.014697,           0.0093073,            0.008713,            0.008713,            0.008713
                  15,            0.035976,            0.028923,           0.0083039,             0.62344,               0.655,             0.66455,             0.40501,            0.034521,             0.01428,            0.010581,            0.008614,            0.008614,            0.008614
                  16,            0.034939,            0.028291,           0.0085919,             0.67839,             0.57301,             0.65788,             0.41604,            0.035952,            0.014877,           0.0087312,            0.008515,            0.008515,            0.008515
                  17,            0.034992,            0.028413,           0.0081064,             0.67334,             0.58653,             0.67897,             0.43163,             0.03393,            0.014476,            0.010915,            0.008416,            0.008416,            0.008416
                  18,            0.034032,            0.028015,           0.0076194,             0.76382,              0.6021,             0.72208,             0.45958,            0.033956,            0.014072,            0.006917,            0.008317,            0.008317,            0.008317
                  19,             0.03429,            0.027025,           0.0071071,             0.66704,             0.64926,             0.70942,             0.45686,            0.033931,            0.013979,           0.0080262,            0.008218,            0.008218,            0.008218
                  20,            0.034036,             0.02837,           0.0073669,             0.67567,             0.60075,             0.67658,             0.43513,            0.033588,            0.013998,            0.010022,            0.008119,            0.008119,            0.008119
                  21,             0.03362,            0.027822,           0.0069162,             0.79618,             0.62361,             0.72778,             0.46352,            0.032806,            0.013729,           0.0067985,             0.00802,             0.00802,             0.00802
                  22,            0.033151,            0.027161,            0.007227,             0.71237,             0.68264,             0.74125,             0.48842,            0.033985,            0.013833,           0.0071776,            0.007921,            0.007921,            0.007921
                  23,            0.032717,            0.027212,           0.0065761,             0.69497,             0.65277,             0.73208,             0.47949,            0.033782,            0.014058,           0.0087045,            0.007822,            0.007822,            0.007822
                  24,            0.032414,            0.027297,           0.0060709,             0.68131,             0.69411,             0.74981,             0.48882,            0.033721,            0.013973,           0.0089677,            0.007723,            0.007723,            0.007723
                  25,            0.033211,            0.027416,           0.0061546,             0.66107,             0.70131,             0.73234,             0.48448,            0.033367,            0.013681,           0.0078574,            0.007624,            0.007624,            0.007624
                  26,            0.032564,            0.027246,           0.0060485,             0.78752,             0.69414,             0.77592,             0.51297,            0.032504,            0.013786,           0.0068773,            0.007525,            0.007525,            0.007525
                  27,            0.032439,            0.027306,           0.0055235,             0.66556,              0.6775,             0.73899,              0.4902,            0.032541,            0.013671,           0.0073841,            0.007426,            0.007426,            0.007426
                  28,             0.03168,            0.027114,           0.0052558,             0.69451,             0.71853,             0.76647,             0.52121,            0.032532,            0.013558,           0.0093735,            0.007327,            0.007327,            0.007327
                  29,             0.03135,            0.026497,           0.0054052,             0.78762,             0.66503,             0.75523,             0.51832,            0.032515,            0.013618,           0.0065662,            0.007228,            0.007228,            0.007228
                  30,            0.031302,            0.026409,           0.0050039,             0.72117,             0.63841,             0.74417,             0.49211,            0.033594,             0.01394,            0.009526,            0.007129,            0.007129,            0.007129
                  31,            0.031159,            0.026115,           0.0052444,             0.82939,             0.67506,             0.77183,             0.51295,            0.032402,            0.013509,           0.0070559,             0.00703,             0.00703,             0.00703
                  32,             0.03088,            0.026624,           0.0050458,              0.7147,             0.68741,             0.75598,             0.49337,            0.032348,            0.013645,           0.0071961,            0.006931,            0.006931,            0.006931
                  33,            0.031111,             0.02678,           0.0054865,             0.75026,             0.71687,             0.77072,             0.51579,            0.032231,            0.013333,           0.0048025,            0.006832,            0.006832,            0.006832
