               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075272,            0.041275,            0.048764,             0.46385,             0.20528,              0.1512,            0.069004,             0.05091,            0.016327,            0.038606,            0.070119,           0.0033201,           0.0033201
                   1,            0.055672,            0.034943,            0.026888,             0.71205,             0.28853,             0.23561,             0.11956,            0.044778,            0.015003,            0.025001,            0.039987,           0.0065217,           0.0065217
                   2,            0.052366,             0.03245,            0.021312,             0.75743,             0.28072,             0.33212,             0.16722,            0.043274,            0.015182,             0.01954,           0.0097236,           0.0095913,           0.0095913
                   3,            0.047149,            0.032652,             0.01813,             0.63033,             0.30961,             0.40536,             0.23267,            0.040778,            0.016111,            0.020158,            0.009406,            0.009406,            0.009406
                   4,            0.044436,            0.032929,            0.016732,             0.63984,             0.32365,             0.36054,             0.20658,            0.041496,            0.017027,            0.019947,            0.009406,            0.009406,            0.009406
                   5,            0.041832,            0.031826,            0.015087,             0.40925,             0.33283,             0.30957,             0.17799,            0.043801,            0.016216,             0.02052,            0.009208,            0.009208,            0.009208
                   6,            0.040269,            0.032159,            0.014184,             0.45207,             0.58041,             0.51905,              0.3009,            0.037285,             0.01464,            0.012816,             0.00901,             0.00901,             0.00901
                   7,             0.03995,             0.03143,            0.012369,              0.4603,             0.65026,             0.55231,             0.32034,            0.036987,            0.015367,            0.013331,            0.008812,            0.008812,            0.008812
                   8,            0.038568,            0.030816,            0.011754,             0.62455,             0.58912,             0.60622,             0.35763,            0.037325,             0.01534,            0.010668,            0.008614,            0.008614,            0.008614
                   9,            0.037994,            0.030141,            0.011123,             0.54541,             0.58115,             0.53286,             0.31785,            0.037845,             0.01446,            0.011257,            0.008416,            0.008416,            0.008416
                  10,             0.03692,            0.030351,           0.0099616,              0.6488,             0.50783,             0.61933,             0.38592,            0.035745,             0.01425,            0.010196,            0.008218,            0.008218,            0.008218
                  11,            0.035941,            0.029948,            0.009067,             0.53294,             0.60323,             0.62123,             0.38445,            0.036325,            0.015592,           0.0098699,             0.00802,             0.00802,             0.00802
